Date,U.S. Sulfur Content (Weighted Average) of Crude Oil Input to Refineries (Percent),U.S. API Gravity (Weighted Average) of Crude Oil Input to Refineries (Degrees),
Jan-1985,0.88,32.64,
Feb-1985,0.88,32.87,
Mar-1985,0.93,32.75,
Apr-1985,0.9,32.58,
May-1985,0.86,32.75,
Jun-1985,0.88,32.36,
Jul-1985,0.89,32.33,
Aug-1985,0.93,32.17,
Sep-1985,0.94,32.18,
Oct-1985,0.93,32.25,
Nov-1985,0.96,32.22,
Dec-1985,0.96,32.46,
Jan-1986,0.94,32.75,
Feb-1986,0.93,32.69,
Mar-1986,0.91,32.85,
Apr-1986,0.93,32.35,
May-1986,0.96,32.41,
Jun-1986,0.99,32.21,
Jul-1986,0.98,32.01,
Aug-1986,0.97,32.2,
Sep-1986,0.98,32.05,
Oct-1986,0.99,32.2,
Nov-1986,0.98,32.15,
Dec-1986,0.93,32.25,
Jan-1987,0.98,32.26,
Feb-1987,0.96,32.42,
Mar-1987,0.94,32.71,
Apr-1987,0.91,32.61,
May-1987,0.96,32.24,
Jun-1987,1.01,31.81,
Jul-1987,0.99,31.83,
Aug-1987,1.01,32.17,
Sep-1987,1.04,32.01,
Oct-1987,1.04,32.08,
Nov-1987,1.03,32.11,
Dec-1987,1,32.44,
Jan-1988,1.04,32.22,
Feb-1988,1.05,32.07,
Mar-1988,1.04,31.85,
Apr-1988,1.04,32.01,
May-1988,1.06,32.05,
Jun-1988,1.04,31.63,
Jul-1988,1.02,31.75,
Aug-1988,1.06,31.92,
Sep-1988,1.07,31.72,
Oct-1988,1.05,31.86,
Nov-1988,1.01,32,
Dec-1988,1.02,32.07,
Jan-1989,1.02,32.6,
Feb-1989,1.06,32.47,
Mar-1989,1.06,32.06,
Apr-1989,1.07,32.31,
May-1989,1.05,32.17,
Jun-1989,1.06,31.85,
Jul-1989,1.06,31.89,
Aug-1989,1.09,31.74,
Sep-1989,1.06,32.04,
Oct-1989,1.08,32.04,
Nov-1989,1.04,32.3,
Dec-1989,1.07,32.31,
Jan-1990,1.08,32.18,
Feb-1990,1.12,32.1,
Mar-1990,1.07,32.23,
Apr-1990,1.03,31.83,
May-1990,1.08,31.96,
Jun-1990,1.13,32.14,
Jul-1990,1.14,31.66,
Aug-1990,1.11,31.71,
Sep-1990,1.07,31.63,
Oct-1990,1.13,31.63,
Nov-1990,1.11,31.63,
Dec-1990,1.12,31.6,
Jan-1991,1.15,31.47,
Feb-1991,1.14,31.71,
Mar-1991,1.14,31.88,
Apr-1991,1.09,32.07,
May-1991,1.11,31.86,
Jun-1991,1.09,31.78,
Jul-1991,1.13,31.68,
Aug-1991,1.15,31.34,
Sep-1991,1.15,31.31,
Oct-1991,1.15,31.58,
Nov-1991,1.17,31.42,
Dec-1991,1.15,31.54,
Jan-1992,1.16,31.6,
Feb-1992,1.18,31.48,
Mar-1992,1.2,31.56,
Apr-1992,1.2,31.3,
May-1992,1.16,31.35,
Jun-1992,1.16,31.26,
Jul-1992,1.14,31.42,
Aug-1992,1.18,31.32,
Sep-1992,1.16,30.81,
Oct-1992,1.13,31.2,
Nov-1992,1.14,31.25,
Dec-1992,1.16,31.26,
Jan-1993,1.18,31.2,
Feb-1993,1.15,31.41,
Mar-1993,1.11,31.41,
Apr-1993,1.1,31.29,
May-1993,1.13,31.3,
Jun-1993,1.17,31.42,
Jul-1993,1.14,31.16,
Aug-1993,1.17,31.08,
Sep-1993,1.17,31.1,
Oct-1993,1.13,31.29,
Nov-1993,1.14,31.33,
Dec-1993,1.18,31.61,
Jan-1994,1.13,31.06,
Feb-1994,1.12,31.58,
Mar-1994,1.13,31.42,
Apr-1994,1.14,31.33,
May-1994,1.17,31.29,
Jun-1994,1.15,31.38,
Jul-1994,1.16,31.44,
Aug-1994,1.16,31.2,
Sep-1994,1.14,31.4,
Oct-1994,1.14,31.42,
Nov-1994,1.16,31.51,
Dec-1994,1.13,31.69,
Jan-1995,1.09,31.58,
Feb-1995,1.12,31.24,
Mar-1995,1.13,31.42,
Apr-1995,1.11,31.55,
May-1995,1.14,31.36,
Jun-1995,1.16,31.05,
Jul-1995,1.16,30.91,
Aug-1995,1.1,31.3,
Sep-1995,1.13,31.01,
Oct-1995,1.1,31.34,
Nov-1995,1.11,31.46,
Dec-1995,1.16,31.37,
Jan-1996,1.11,31.53,
Feb-1996,1.13,31.21,
Mar-1996,1.15,31.28,
Apr-1996,1.14,31.06,
May-1996,1.12,31.57,
Jun-1996,1.11,31.05,
Jul-1996,1.14,31.24,
Aug-1996,1.19,31.2,
Sep-1996,1.16,30.86,
Oct-1996,1.17,30.67,
Nov-1996,1.18,30.9,
Dec-1996,1.18,31.16,
Jan-1997,1.21,31.46,
Feb-1997,1.2,31.7,
Mar-1997,1.23,31.45,
Apr-1997,1.26,31.2,
May-1997,1.24,30.71,
Jun-1997,1.25,30.9,
Jul-1997,1.28,31.14,
Aug-1997,1.28,30.83,
Sep-1997,1.29,30.76,
Oct-1997,1.27,31.01,
Nov-1997,1.28,31.06,
Dec-1997,1.26,30.85,
Jan-1998,1.26,31.14,
Feb-1998,1.32,30.9,
Mar-1998,1.34,30.72,
Apr-1998,1.34,30.69,
May-1998,1.29,30.79,
Jun-1998,1.33,30.4,
Jul-1998,1.32,30.89,
Aug-1998,1.3,31.17,
Sep-1998,1.3,31.14,
Oct-1998,1.31,31.27,
Nov-1998,1.26,31.35,
Dec-1998,1.29,31.3,
Jan-1999,1.28,31.89,
Feb-1999,1.31,31.34,
Mar-1999,1.34,31.19,
